LINK_ID,SDO,WKT
1156720536,,"LINESTRING( 8.3814 48.9946, 8.38142 48.99474)"
53188664,,"LINESTRING( 8.42771 49.01496, 8.42741 49.01618)"
53191439,,"LINESTRING( 8.36708 49.02986, 8.36605 49.0299)"
53187733,,"LINESTRING( 8.33828 49.0042, 8.33764 49.00432, 8.33737 49.00438)"
809076027,,"LINESTRING( 8.38614 49.00216, 8.38616 49.00236, 8.38617 49.00252)"
1082915206,,"LINESTRING( 8.42669 49.00067, 8.42872 49.00131, 8.42983 49.00168, 8.43046 49.0019, 8.43049 49.00191)"
589256613,,"LINESTRING( 8.38614 49.00216, 8.38425 49.00229)"
991946476,,"LINESTRING( 8.39571 48.99344, 8.39529 48.99347)"
786349321,,"LINESTRING( 8.36234 49.03097, 8.36166 49.03108, 8.3609 49.03122)"
53191438,,"LINESTRING( 8.36708 49.02986, 8.36724 49.03002, 8.36732 49.03024, 8.3674 49.03069)"
1132370139,,"LINESTRING( 8.34076 48.99871, 8.34058 48.99884)"
53180742,,"LINESTRING( 8.32769 49.00374, 8.32788 49.00386, 8.32859 49.00417)"
53181820,,"LINESTRING( 8.39 48.99376, 8.39006 48.99409)"
931435098,,"LINESTRING( 8.39147 49.00533, 8.3934 49.00533)"
999161131,,"LINESTRING( 8.37828 48.9918, 8.37709 48.99237)"
53191163,,"LINESTRING( 8.34096 49.00542, 8.34108 49.00555)"
803022265,,"LINESTRING( 8.35597 49.0122, 8.35568 49.01247)"
907685819,,"LINESTRING( 8.36039 49.03282, 8.36056 49.03333, 8.36087 49.03439, 8.36093 49.0346)"
1201898553,,"LINESTRING( 8.34088 48.99369, 8.34091 48.99378, 8.34098 48.99387, 8.34113 48.99402, 8.34125 48.99412)"
931268756,,"LINESTRING( 8.38605 48.99623, 8.38612 48.99628, 8.3862 48.99631)"
574376954,,"LINESTRING( 8.42357 49.0095, 8.42353 49.00951, 8.42349 49.00952, 8.42347 49.00954, 8.42346 49.00956)"
53234707,,"LINESTRING( 8.40369 49.00702, 8.40365 49.00717)"
1197767246,,"LINESTRING( 8.35449 49.00342, 8.35416 49.00349, 8.35376 49.00358, 8.35348 49.00366)"
53289034,,"LINESTRING( 8.38614 49.00216, 8.38645 49.00216)"
53290850,,"LINESTRING( 8.36599 49.02745, 8.36604 49.02761)"
540930192,,"LINESTRING( 8.32921 49.0172, 8.33197 49.01828)"
1159702469,,"LINESTRING( 8.38483 48.99192, 8.38431 48.99205, 8.38411 48.99212, 8.38389 48.99224, 8.38325 48.99243, 8.38282 48.9926, 8.38268 48.99266)"
930867109,,"LINESTRING( 8.40397 49.00462, 8.404 49.00477, 8.40399 49.00483, 8.40391 49.00495, 8.40392 49.005, 8.40398 49.00502, 8.40415 49.00504)"
994046941,,"LINESTRING( 8.37391 49.02349, 8.37352 49.02365)"
53188357,,"LINESTRING( 8.43112 49.00627, 8.43089 49.00631)"
53189975,,"LINESTRING( 8.34887 48.99913, 8.34901 48.99918, 8.34914 48.99926, 8.34929 48.99937)"
991796010,,"LINESTRING( 8.36708 49.00476, 8.36691 49.00492)"
53179645,,"LINESTRING( 8.35201 49.0214, 8.35085 49.02212)"
991962706,,"LINESTRING( 8.42771 49.01496, 8.42777 49.01497, 8.42783 49.01497)"
589245884,,"LINESTRING( 8.35201 49.0214, 8.35219 49.02153)"
53179210,,"LINESTRING( 8.36234 49.03097, 8.36242 49.0315)"
53191708,,"LINESTRING( 8.40237 49.01036, 8.40182 49.01052)"
1171346336,,"LINESTRING( 8.37789 49.01069, 8.37709 49.01072)"
53182029,,"LINESTRING( 8.35425 48.9912, 8.35356 48.99157)"
53188753,,"LINESTRING( 8.37097 49.01357, 8.36915 49.0137)"
1194808833,,"LINESTRING( 8.40397 49.00462, 8.40349 49.00464)"
909206393,,"LINESTRING( 8.38605 48.99623, 8.3858 48.99623, 8.3855 48.99631, 8.3851 48.99635)"
574418193,,"LINESTRING( 8.34088 48.99369, 8.34099 48.99375, 8.3411 48.9938)"
53180743,,"LINESTRING( 8.32769 49.00374, 8.32755 49.0038)"
78584796,,"LINESTRING( 8.42669 49.00067, 8.42659 49.00079)"
53189692,,"LINESTRING( 8.36149 49.00305, 8.36155 49.00319, 8.3612 49.00343, 8.36006 49.00445)"
53189976,,"LINESTRING( 8.34887 48.99913, 8.34892 48.99923, 8.34905 48.99934, 8.34916 48.99944)"
1201941273,,"LINESTRING( 8.38515 49.02303, 8.38525 49.02334)"
991946477,,"LINESTRING( 8.39571 48.99344, 8.39575 48.99384)"
1191317678,,"LINESTRING( 8.34405 49.01428, 8.34425 49.01441, 8.3445 49.01454)"
1201898575,,"LINESTRING( 8.34366 48.99528, 8.3438 48.99535, 8.34404 48.99549)"
53181821,,"LINESTRING( 8.39 48.99376, 8.38862 48.99383)"
53191456,,"LINESTRING( 8.36599 49.02745, 8.36646 49.0275)"
574376955,,"LINESTRING( 8.42357 49.0095, 8.42361 49.00951, 8.42365 49.00954, 8.42366 49.00957)"
1132293167,,"LINESTRING( 8.36318 49.00154, 8.36314 49.00164, 8.36308 49.00173, 8.36289 49.00193, 8.36282 49.00199, 8.36263 49.00216, 8.36244 49.00232)"
53188346,,"LINESTRING( 8.43112 49.00627, 8.43131 49.0064)"
1132370136,,"LINESTRING( 8.34076 48.99871, 8.34093 48.99887, 8.34121 48.99914)"
53188345,,"LINESTRING( 8.43112 49.00627, 8.43109 49.00644)"
970493648,,"LINESTRING( 8.3981 49.00536, 8.39824 49.00536, 8.39838 49.00536)"
1202363417,,"LINESTRING( 8.3597 49.0025, 8.35987 49.00264, 8.35999 49.0027)"
991946471,,"LINESTRING( 8.39404 48.99268, 8.39453 48.99302)"
53188419,,"LINESTRING( 8.39016 48.99497, 8.38934 48.99503)"
53187447,,"LINESTRING( 8.4016 48.99185, 8.40141 48.99215)"
786717465,,"LINESTRING( 8.36002 49.03141, 8.35986 49.03144)"
53192088,,"LINESTRING( 8.37554 48.98681, 8.37549 48.98688, 8.37568 48.98716, 8.37644 48.98807, 8.37668 48.98845, 8.37676 48.98864)"
931254702,,"LINESTRING( 8.38969 49.01267, 8.38967 49.01275, 8.38969 49.01285, 8.38976 49.01292, 8.38983 49.01299, 8.3899 49.01304, 8.38999 49.01307)"
1202078089,,"LINESTRING( 8.3597 49.0025, 8.35941 49.00259)"
53187163,,"LINESTRING( 8.39649 48.99301, 8.39688 48.99311)"
78578750,,"LINESTRING( 8.40365 48.99836, 8.4033 48.99924)"
931436581,,"LINESTRING( 8.39905 49.01211, 8.3989 49.01232, 8.39872 49.01259)"
931106705,,"LINESTRING( 8.38217 48.99773, 8.38148 48.99774)"
78578514,,"LINESTRING( 8.44411 49.00564, 8.444 49.00567)"
53188340,,"LINESTRING( 8.42977 49.00986, 8.42814 49.01)"
931254701,,"LINESTRING( 8.38969 49.01267, 8.39028 49.01272)"
1132332867,,"LINESTRING( 8.40537 48.99996, 8.40578 48.99998)"
53180151,,"LINESTRING( 8.4131 49.01053, 8.41314 49.01116)"
53188194,,"LINESTRING( 8.44361 49.0065, 8.4439 49.00703)"
931106691,,"LINESTRING( 8.38217 48.99773, 8.38221 48.9981)"
805977022,,"LINESTRING( 8.43948 49.00631, 8.43982 49.00649)"
996663112,,"LINESTRING( 8.39549 48.9927, 8.39561 48.99278, 8.39572 48.99296)"
53187678,,"LINESTRING( 8.33964 49.00761, 8.33968 49.00779)"
53189882,,"LINESTRING( 8.34725 49.0003, 8.34734 49.00044)"
1132266263,,"LINESTRING( 8.33377 48.99311, 8.33362 48.99312, 8.33315 48.99326)"
53191709,,"LINESTRING( 8.40238 49.01032, 8.40237 49.01036)"
53187685,,"LINESTRING( 8.34629 49.00596, 8.34652 49.00668)"
53181281,,"LINESTRING( 8.3487 48.99899, 8.34876 48.99904, 8.34887 48.99913)"
53180270,,"LINESTRING( 8.32011 49.0078, 8.31778 49.00815)"
1090729737,,"LINESTRING( 8.40481 48.9946, 8.40476 48.9947)"
994046929,,"LINESTRING( 8.37039 49.03116, 8.37039 49.03188)"
931027318,,"LINESTRING( 8.40198 48.99904, 8.40188 48.99908)"
1192849419,,"LINESTRING( 8.43966 49.00303, 8.43974 49.00323)"
805977023,,"LINESTRING( 8.43948 49.00631, 8.43948 49.00638, 8.43947 49.00643, 8.43945 49.00647, 8.43942 49.00651, 8.43936 49.00657)"
1204789252,,"LINESTRING( 8.36161 49.01374, 8.36198 49.01374)"
53189563,,"LINESTRING( 8.36572 49.00455, 8.36538 49.00485)"
991839502,,"LINESTRING( 8.37274 48.99311, 8.37247 48.99325)"
589256685,,"LINESTRING( 8.38525 49.02334, 8.38533 49.02366, 8.3854 49.02405, 8.38551 49.02463)"
930857575,,"LINESTRING( 8.4131 49.01053, 8.41316 49.01053)"
931210836,,"LINESTRING( 8.41183 49.00247, 8.41306 49.0025)"
717737185,,"LINESTRING( 8.42117 49.01374, 8.42069 49.01375)"
991679126,,"LINESTRING( 8.37046 49.02725, 8.37045 49.02828)"
994573066,,"LINESTRING( 8.35326 49.00856, 8.35314 49.00867, 8.35311 49.00874, 8.35309 49.00881, 8.35311 49.00889, 8.35315 49.00895, 8.35322 49.00901, 8.35331 49.00905)"
991925561,,"LINESTRING( 8.33964 49.00761, 8.33899 49.0077, 8.33853 49.00773, 8.33818 49.00771)"
53189787,,"LINESTRING( 8.4081 49.00159, 8.40806 49.00237)"
970493649,,"LINESTRING( 8.39838 49.00536, 8.39821 49.0054, 8.39806 49.00543)"
1160626651,,"LINESTRING( 8.37973 48.99178, 8.3797 48.99172, 8.37962 48.99169, 8.3795 48.9917, 8.37946 48.99175, 8.37945 48.99179, 8.37944 48.9919, 8.37951 48.99205, 8.37965 48.99216, 8.37977 48.99225, 8.37989 48.99234, 8.38024 48.99259, 8.38037 48.99269)"
931159537,,"LINESTRING( 8.41579 49.01323, 8.41521 49.01325)"
1090580701,,"LINESTRING( 8.44411 49.00564, 8.44417 49.00573)"
803007417,,"LINESTRING( 8.36002 49.03141, 8.36012 49.03168)"
803015540,,"LINESTRING( 8.35096 49.0141, 8.3506 49.01421, 8.35017 49.01434, 8.34986 49.01444)"
53187288,,"LINESTRING( 8.35897 49.02273, 8.35909 49.02286)"
808180453,,"LINESTRING( 8.39572 48.99443, 8.39554 48.99444)"
53189522,,"LINESTRING( 8.39838 49.00536, 8.39983 49.00536)"
931057452,,"LINESTRING( 8.4016 48.99185, 8.40174 48.99189)"
1171158900,,"LINESTRING( 8.38664 49.02152, 8.38685 49.02254)"
1159615237,,"LINESTRING( 8.39404 48.99268, 8.39379 48.9927)"
991946473,,"LINESTRING( 8.39489 48.99281, 8.39453 48.99302)"
905855524,,"LINESTRING( 8.34892 49.01704, 8.34852 49.0178)"
991946486,,"LINESTRING( 8.39649 48.99301, 8.39648 48.9931)"
931147617,,"LINESTRING( 8.39666 49.00137, 8.39669 49.00154)"
930954752,,"LINESTRING( 8.39098 49.00319, 8.39114 49.0046)"
53188092,,"LINESTRING( 8.39016 48.99497, 8.39022 48.99524)"
1090723775,,"LINESTRING( 8.40398 48.99148, 8.40399 48.99157)"
810166347,,"LINESTRING( 8.3679 49.00816, 8.36789 49.0083)"
53181375,,"LINESTRING( 8.39168 48.99844, 8.39053 48.99849)"
53180122,,"LINESTRING( 8.41314 49.01116, 8.41318 49.01168)"
53179608,,"LINESTRING( 8.35909 49.02286, 8.35951 49.02334)"
53188886,,"LINESTRING( 8.39905 49.01211, 8.39917 49.01216)"
991946474,,"LINESTRING( 8.39489 48.99281, 8.39529 48.99347)"
53187192,,"LINESTRING( 8.35897 49.02273, 8.35757 49.02351)"
78579950,,"LINESTRING( 8.37823 48.99125, 8.37829 48.99129)"
1191142824,,"LINESTRING( 8.34725 49.0003, 8.34686 49.00041, 8.34596 49.00069, 8.34573 49.00077)"
931027304,,"LINESTRING( 8.40198 48.99904, 8.40286 48.99928)"
909196425,,"LINESTRING( 8.40198 48.99904, 8.40239 48.99927)"
1132266264,,"LINESTRING( 8.33377 48.99311, 8.33416 48.99345)"
53180152,,"LINESTRING( 8.4131 49.01053, 8.41275 49.01054)"
1199527636,,"LINESTRING( 8.43868 49.00819, 8.43884 49.00857)"
717737184,,"LINESTRING( 8.42117 49.01374, 8.42122 49.01439)"
1194994870,,"LINESTRING( 8.40198 48.99904, 8.40208 48.99904, 8.4025 48.99913, 8.40278 48.99916)"
53181505,,"LINESTRING( 8.35546 48.9967, 8.35427 48.9971)"
574406073,,"LINESTRING( 8.42977 49.00986, 8.42958 49.01047)"
931106690,,"LINESTRING( 8.38217 48.99773, 8.3827 48.99781)"
807858543,,"LINESTRING( 8.35909 49.02286, 8.35798 49.02345)"
589256731,,"LINESTRING( 8.385 49.03617, 8.38456 49.03652, 8.38396 49.03686)"
807858544,,"LINESTRING( 8.35798 49.02345, 8.35769 49.0236)"
991659807,,"LINESTRING( 8.35582 49.03437, 8.35624 49.0346, 8.35651 49.03473)"
1193055183,,"LINESTRING( 8.4394 49.00488, 8.43858 49.00503)"
1132266250,,"LINESTRING( 8.33315 48.99326, 8.33318 48.99338, 8.33343 48.99361, 8.33352 48.99378, 8.33377 48.99405)"
909635592,,"LINESTRING( 8.40905 49.00356, 8.40903 49.00393)"
931116275,,"LINESTRING( 8.41261 49.00946, 8.41216 49.00948)"
1090580699,,"LINESTRING( 8.4433 49.0059, 8.44327 49.00598)"
53189807,,"LINESTRING( 8.40567 49.00142, 8.40685 49.00145)"
53187231,,"LINESTRING( 8.35311 49.01299, 8.35305 49.01313)"
931148399,,"LINESTRING( 8.38666 49.00395, 8.3867 49.00413)"
994450503,,"LINESTRING( 8.39488 49.01567, 8.39498 49.01623, 8.395 49.01627)"
78582112,,"LINESTRING( 8.43728 49.00514, 8.4375 49.00524)"
1132266254,,"LINESTRING( 8.33315 48.99326, 8.33268 48.99347, 8.33263 48.99351, 8.33259 48.99355)"
914948622,,"LINESTRING( 8.35415 49.00852, 8.3546 49.00868, 8.35476 49.00874, 8.3549 49.00879, 8.35512 49.00885, 8.35533 49.00889, 8.35554 49.00892, 8.3557 49.00893)"
808184332,,"LINESTRING( 8.38689 49.0313, 8.387 49.03181)"
53188781,,"LINESTRING( 8.38963 49.01347, 8.3878 49.01356)"
717738542,,"LINESTRING( 8.43728 49.00514, 8.43646 49.00529)"
53188723,,"LINESTRING( 8.3823 49.01383, 8.38365 49.01466, 8.38385 49.01481)"
1158430881,,"LINESTRING( 8.3659 48.99793, 8.36671 48.99832, 8.3671 48.9985, 8.36746 48.99861, 8.36757 48.99866, 8.36783 48.99875)"
53180451,,"LINESTRING( 8.32128 49.00593, 8.32081 49.00603)"
53181605,,"LINESTRING( 8.3445 48.99576, 8.34423 48.99593)"
53189566,,"LINESTRING( 8.36593 49.00432, 8.36608 49.00441, 8.36618 49.00448, 8.36629 49.00456)"
999152829,,"LINESTRING( 8.31677 49.00427, 8.3166 49.00491)"
1082915203,,"LINESTRING( 8.42954 49.0017, 8.42995 49.00184, 8.43031 49.00197)"
909523450,,"LINESTRING( 8.4012 49.01124, 8.40136 49.01137)"
915011118,,"LINESTRING( 8.34296 48.99464, 8.34287 48.99473)"
53187570,,"LINESTRING( 8.38508 49.02276, 8.38511 49.02289)"
907924750,,"LINESTRING( 8.38425 49.00229, 8.38428 49.00309)"
540930745,,"LINESTRING( 8.34237 48.99281, 8.34306 48.99339, 8.34394 48.99412)"
931152217,,"LINESTRING( 8.39042 48.9948, 8.39014 48.99482)"
53189808,,"LINESTRING( 8.40567 49.00142, 8.40567 49.00153)"
777855718,,"LINESTRING( 8.41569 49.00383, 8.41511 49.00398)"
78579971,,"LINESTRING( 8.37903 48.99246, 8.3781 48.99279)"
53189139,,"LINESTRING( 8.39173 49.00955, 8.3918 49.01016)"
991971000,,"LINESTRING( 8.34642 49.01477, 8.34649 49.0148, 8.34649 49.01486, 8.34646 49.01493, 8.34634 49.01497)"
808141814,,"LINESTRING( 8.43583 49.00722, 8.43495 49.00739)"
931116276,,"LINESTRING( 8.41261 49.00946, 8.41264 49.00967)"
931027312,,"LINESTRING( 8.40578 48.99998, 8.40669 49)"
791221260,,"LINESTRING( 8.34586 49.01811, 8.34539 49.01844, 8.33967 49.02117)"
1201953150,,"LINESTRING( 8.38217 48.99427, 8.38247 48.99454)"
53189699,,"LINESTRING( 8.37087 49.00303, 8.37026 49.0035, 8.37009 49.00368)"
915011122,,"LINESTRING( 8.34296 48.99464, 8.34284 48.99465)"
994633707,,"LINESTRING( 8.37128 49.00271, 8.37109 49.00289)"
930688525,,"LINESTRING( 8.39488 49.01567, 8.39463 49.01571)"
1132238768,,"LINESTRING( 8.4044 48.99987, 8.40431 48.99993, 8.4042 48.99994, 8.40403 48.99993)"
53180450,,"LINESTRING( 8.32128 49.00593, 8.32156 49.00759)"
991970999,,"LINESTRING( 8.34642 49.01477, 8.34636 49.01486)"
53183995,,"LINESTRING( 8.3445 48.99576, 8.34472 48.99591)"
1132332869,,"LINESTRING( 8.4044 48.99987, 8.40458 48.9999, 8.40482 48.99992)"
1132238769,,"LINESTRING( 8.4044 48.99987, 8.4045 48.9998, 8.40463 48.99973, 8.40481 48.99967, 8.40499 48.99966, 8.40516 48.99972, 8.4053 48.99985, 8.40537 48.99996)"
53187557,,"LINESTRING( 8.38839 49.02986, 8.38704 49.02999)"
53189117,,"LINESTRING( 8.37213 49.00974, 8.37277 49.01092)"
53180183,,"LINESTRING( 8.37213 49.00974, 8.37033 49.01)"
53181401,,"LINESTRING( 8.36417 48.99813, 8.36341 48.99824)"
914948624,,"LINESTRING( 8.35415 49.00852, 8.35452 49.00874, 8.35471 49.00884, 8.35502 49.00898, 8.35521 49.00906, 8.35546 49.00915)"
808269670,,"LINESTRING( 8.44458 49.00562, 8.44434 49.0057)"
991676367,,"LINESTRING( 8.38839 49.02986, 8.3885 49.0303, 8.3886 49.03095, 8.38871 49.03139, 8.3888 49.03176)"
53189579,,"LINESTRING( 8.36593 49.00432, 8.36572 49.00455)"
53187829,,"LINESTRING( 8.34244 48.99468, 8.34273 48.9948, 8.34281 48.99483)"
