LINK_ID,ACCESS_ID,FUNCTIONAL_CLASS,TRAVEL_DIRECTION,PRIVATE,TOLLWAY,FROM_SPEED_LIMIT,TO_SPEED_LIMIT,PUBLIC_ACCESS
1156720536,1015,5,B,N,N,50,50,Y
53188664,32,5,B,N,N,,,Y
53191439,1015,5,B,N,N,10,10,Y
53187733,1023,3,T,N,N,,50,Y
809076027,1023,3,T,N,N,,50,Y
1082915206,1023,2,F,N,N,60,,Y
589256613,34,5,B,N,N,,,Y
991946476,32,5,B,N,N,,,Y
786349321,1023,5,B,N,N,50,50,Y
53191438,1023,5,B,N,N,30,30,Y
1132370139,32,5,B,N,N,,,Y
53180742,1023,5,T,N,N,,30,Y
53181820,1023,5,B,N,N,30,30,Y
931435098,1023,3,F,N,N,50,,Y
999161131,1023,5,B,N,N,30,30,Y
53191163,1015,5,B,N,N,50,50,Y
803022265,1023,2,T,N,N,,50,Y
907685819,1023,2,T,N,N,,60,Y
1201898553,1023,4,T,N,N,,50,Y
931268756,1023,5,B,N,N,30,30,Y
574376954,1023,4,T,N,N,,30,Y
53234707,1023,5,F,N,N,30,,Y
1197767246,1023,4,B,N,N,50,50,Y
53289034,1023,5,B,N,N,30,30,Y
53290850,1015,5,B,Y,N,30,30,N
540930192,1023,5,B,N,N,50,50,Y
1159702469,32,5,B,N,N,,,Y
930867109,32,5,B,N,N,,,Y
994046941,1023,5,B,N,N,30,30,Y
53188357,1023,3,T,N,N,,50,Y
53189975,1023,4,F,N,N,50,,Y
991796010,32,5,B,N,N,,,Y
53179645,1023,5,B,N,N,50,50,Y
991962706,1023,5,B,N,N,30,30,Y
589245884,1023,5,B,N,N,50,50,Y
53179210,1023,5,B,N,N,30,30,Y
53191708,1015,5,T,N,N,,30,Y
1171346336,1023,5,T,N,N,,30,Y
53182029,34,5,B,N,N,,,Y
53188753,1023,5,T,N,N,,30,Y
1194808833,1023,5,F,N,N,50,,Y
909206393,1015,5,B,N,N,5,5,Y
574418193,1023,5,B,N,N,50,50,Y
53180743,1023,5,B,N,N,30,30,Y
78584796,1023,2,F,N,N,50,,Y
53189692,1023,5,B,N,N,50,50,Y
53189976,1023,4,T,N,N,,50,Y
1201941273,1023,4,T,N,N,,50,Y
991946477,32,5,B,N,N,,,Y
1191317678,1023,3,B,N,N,50,50,Y
1201898575,1023,4,T,N,N,,50,Y
53181821,1023,5,B,N,N,30,30,Y
53191456,1023,5,B,N,N,30,30,Y
574376955,1023,4,F,N,N,30,,Y
1132293167,1023,4,B,N,N,50,50,Y
53188346,1023,4,F,N,N,50,,Y
1132370136,32,5,B,N,N,,,Y
53188345,1023,4,T,N,N,,50,Y
970493648,1023,3,F,N,N,50,,Y
1202363417,1023,4,B,N,N,50,50,Y
991946471,1023,5,B,N,N,50,50,Y
53188419,1023,3,F,N,N,50,,Y
53187447,1023,5,B,N,N,30,30,Y
786717465,1023,5,B,N,N,50,50,Y
53192088,1023,5,B,N,N,30,30,Y
931254702,32,5,B,N,N,,,Y
1202078089,1023,4,B,N,N,50,50,Y
53187163,1023,5,T,N,N,,50,Y
78578750,1023,3,T,N,N,,50,Y
931436581,1023,3,T,N,N,,50,Y
931106705,32,5,B,N,N,,,Y
78578514,1023,4,T,N,N,,50,Y
53188340,1023,5,B,N,N,30,30,Y
931254701,1023,5,B,N,N,30,30,Y
1132332867,32,5,B,N,N,,,Y
53180151,1015,5,B,Y,N,30,30,Y
53188194,1023,5,B,N,N,30,30,Y
931106691,32,5,B,N,N,,,Y
805977022,1023,3,T,N,N,,60,Y
996663112,32,5,B,N,N,,,Y
53187678,1023,5,B,N,N,50,50,Y
53189882,1023,5,B,N,N,50,50,Y
1132266263,32,5,B,N,N,,,Y
53191709,1015,5,B,N,N,30,30,Y
53187685,1023,5,B,N,N,10,10,Y
53181281,1023,4,B,N,N,50,50,Y
53180270,1023,5,B,N,N,30,30,Y
1090729737,1023,3,F,N,N,50,,Y
994046929,1023,5,B,N,N,50,50,Y
931027318,32,5,B,N,N,,,Y
1192849419,1023,5,B,N,N,50,50,Y
805977023,1023,4,T,N,N,,50,Y
1204789252,1023,5,B,N,N,10,10,Y
53189563,1023,2,T,N,N,,50,Y
991839502,32,5,B,N,N,,,Y
589256685,1023,4,T,N,N,,50,Y
930857575,1015,5,B,Y,N,30,30,Y
931210836,1023,5,T,N,N,,30,Y
717737185,1015,5,B,Y,N,30,30,Y
991679126,1023,5,B,N,N,50,50,Y
994573066,991,4,B,N,N,50,50,Y
991925561,1015,5,B,N,N,30,30,Y
53189787,1023,5,F,N,N,30,,Y
970493649,991,3,T,N,N,,50,Y
1160626651,32,5,B,N,N,,,Y
931159537,1015,5,B,Y,N,10,10,Y
1090580701,1023,4,B,N,N,50,50,Y
803007417,1023,2,F,N,N,60,,Y
803015540,1023,2,T,N,N,,50,Y
53187288,1023,5,B,N,N,50,50,Y
808180453,1023,3,T,N,N,,50,Y
53189522,1023,3,F,N,N,50,,Y
931057452,1023,5,B,N,N,30,30,Y
1171158900,1023,5,B,N,N,30,30,Y
