POI_ID,NAME,LAT,LON
1164903088,Zum Kleinen Ketterer,49.00765,8.40763
1005220932,Wigwam e.V. Freie Kindertagesstätte,48.9989,8.38182
1163982616,Autohaus Lang am Ostring GmbH,49.00806,8.44297
1108687026,Friseursalon Boussif,49.00874,8.40859
1005226100,Kath. Kindergarten St. Bonifatius,49.00974,8.38182
1039243138,Osteria Carree,49.00922,8.37631
1148490524,DEVK Regionaldirektion Karlsruhe,48.99716,8.40961
1039814538,Pädagogische Hochschule,49.01303,8.39341
1017890557,BBBank,49.01095,8.39925
1108709999,C & M Company,49.01118,8.36119
996602887,Hertz,48.997,8.37233
1132504372,Swarovski,49.00564,8.40312
1039212923,Alibaba,49.00656,8.40592
800851082,Kongress-Centrum Karlsruhe,49.00313,8.39947
50605280,Blankenburg,49.00571,8.40709
1132232885,Matratzen CONCORD,49.0115,8.36414
1164824921,Hermes PaketShop,48.99728,8.33648
57568242,Majolika,49.00308,8.40193
1039130167,ZARA,49.00564,8.40312
800755773,Kleine Kirche,49.00948,8.40527
1039892866,Hans-Thoma-Schule,49.00729,8.40607
1039243170,Milano,49.00222,8.40805
1165767382,AVIS,49.00493,8.41594
1011104677,real,49.00482,8.44626
1024132964,EUROMOBIL Volkswagen Zentrum,48.99688,8.34645
57564424,Filmpalast am ZKM,49.00054,8.38595
1005167655,Goethe-Gymnasium,49.00372,8.3965
50605197,ASTORIA,49.00269,8.39381
1138938048,Ah. Neureither Karlsruhe GmbH,49.03228,8.35886
1108686584,Salon Ruppel,49.00884,8.3919
1070063449,Stadtbahn Ettlinger Tor/Staatstheater,49.00494,8.40332
1178852696,Dr. med. Ingo C. Dulisch,49.00937,8.40934
50604137,Scala,49.00012,8.40321
1039892867,Grund-und Hauptschule Beiertheim,48.99298,8.38684
1017621214,Arbeitsgericht Karlsruhe,49.00916,8.40076
1039211649,Starbucks-Kaiserstraße,49.00982,8.39874
1031198232,Evangelischer Kindergarten,48.99105,8.3541
1112419685,Autohaus Graf Hardenberg GmbH,49.01599,8.35398
1115829589,"BBBank eG, SB-Stelle",49.02038,8.44106
1039266215,Fleischerfachgeschäft Konrad Floc,49.00849,8.37951
1058541582,Zahnarztpraxis Oliver Köhler,49.02136,8.36146
1178082138,Ketterer,48.99419,8.39841
1161449916,Nordsee,49.00564,8.40332
1005223619,Kindergarten St. Martin,49.01245,8.4402
898512895,Friedhof Rintheim,49.01609,8.44713
1039266217,Alnatura,49.00784,8.43925
1108686997,Haarwerk,48.99636,8.33579
1039266229,K&U Bäckerei,49.00511,8.39449
1164855278,Starbucks-Europaplatz,49.01001,8.39462
1039893718,Heilig-Geist-Kirche,49.00461,8.33109
1023817568,Nutzfahrzeug-Zentrum Karlsruhe,48.99695,8.34609
1131716909,Kleingartenanlage Oberer See,49.01699,8.36042
1131716907,Haydnplatz,49.01367,8.3816
1110490873,Sparkasse Karlsruhe Ettlingen,49.00531,8.33115
1148924241,El 29,48.99993,8.38292
1058556703,Zahnarztpraxis Dr. Peter Aibester,49.00974,8.40031
1011540996,Orsay,49.00983,8.39853
1039878916,dm,49.01151,8.36397
1193011971,Oberländer Weinstube,49.01178,8.39809
1108705478,TOP HAIR,49.00738,8.41021
1039243159,Eierhuber,49.0093,8.37489
1010630640,BAUHAUS,48.99754,8.40506
1070063446,Stadtbahn Kongresszentrum,49.00267,8.40327
57562999,McDonald's (McDrive),49.01447,8.35174
800764295,Santander,49.00749,8.39473
1070067169,Stadtbahn Entenfang,49.01073,8.35977
1039206618,Autohaus Kuno Streit e. K.,49.03247,8.35896
800757389,Hof-Apotheke,49.00991,8.39691
57566306,Scheck-in Center,49.00591,8.4109
1039880847,Cafe Rih,49.01119,8.39966
1039880845,Sean O'Casey's Irish Pub,49.00899,8.403
801782355,Minerva-Apotheke,49.0174,8.44333
1132504373,THE BODY SHOP,49.00564,8.40312
1108687018,Frisörsalon Mustafa Rashid Abdullah,49.01047,8.3746
1193011458,Hering-Lippmann,49.01275,8.37223
1104303592,GRAIN DE MALICE,49.00984,8.39901
1164903087,Zi Lounge,49.00511,8.39449
800851765,Einkaufszentrum Ettlinger Tor,49.00568,8.40202
1039243152,Rote Taube,49.00562,8.3722
50612139,Tullabad,49.00038,8.40286
1039266224,Metzgerei Windt,49.00877,8.3976
1039306509,Evangel. Kindergarten,49.00716,8.37219
50611305,Botanischer Garten,49.01198,8.40054
1131722973,Kleingartenanlage Sonnenbad,49.01261,8.34868
1039782032,Treff 3000 Karlsruhe,49.00941,8.4277
801781055,Auferstehungskirche,49.01218,8.3839
1178852316,Ingeborg Sibler,49.00141,8.40457
1104303588,GentlemeN,49.00687,8.39481
57563040,Stiegeles Restaurant,49.00269,8.39381
1131752723,bft,49.007,8.34539
1193019262,Pizza Turbo,49.00884,8.38963
1005160049,Drais-Realschule,49.01516,8.36655
1176204167,ROSSMANN,49.01,8.39462
800752839,Congress Apotheke Karlsruhe,49.00267,8.40331
1039266247,Reformhäuser Böser,49.00939,8.3934
1104303590,Kenzo,49.00702,8.39483
1011014060,Hoepfner Burghof,49.01253,8.42645
1024643590,Volksbank Karlsruhe eG Filiale Südstadt,49.00144,8.40706
1177960233,ARAL,48.99503,8.38956
1058544192,Dr. med. dent. Klaus Nossek,49.00538,8.33403
1126266703,Sparkasse Karlsruhe Ettlingen,49.0035,8.38166
1039893096,Leopoldschule,49.00832,8.38962
1193944814,Eis Cassata Karlsruhe,49.00896,8.42366
1017890505,BBBank,49.01038,8.38415
1132034819,Die Radecke,49.00451,8.39214
800750938,Apotheke am Nymphengarten,49.00533,8.39852
1193025364,Trattoria Art,49.00568,8.40673
1194476684,Denkfabrik,49.01754,8.39333
1131753366,SB Tankstelle am real,48.99171,8.37507
1011023695,Gewerbegebiet Unterweingartenfeld,48.99084,8.37193
1132504376,GANT,49.00564,8.40312
1178851632,Dr. med. Ludwig Ritter,48.99699,8.39374
1005155878,Adam-Remmele-Schule,48.99965,8.34065
