POI_ID,POI_TYPE,LAT,LON
1011027087,Industriegebiet,49.02096,8.44105
1132034812,Sportfachgeschäft,49.0086,8.43172
1148910990,Kaffeehaus,49.00321,8.39452
1039243138,Restaurant,49.00922,8.37631
1194135126,Bank,49.0053,8.41433
1100900878,Parkplatz,49.00114,8.40264
1164819837,Restaurant,49.01001,8.39462
1031851896,Convenience Store,49.02931,8.3704
1165846659,Andachtsort,49.02323,8.36605
1148121266,Bekleidungsgeschäft,49.00988,8.39815
1058556706,Medizinischer Service,49.00997,8.39666
1039240178,Restaurant,49.03191,8.38744
1017890530,Geldautomat,49.00952,8.40471
1039814902,Nachtleben,49.01027,8.39653
1023822445,Bank,49.00744,8.39847
1164919041,Apotheke,49.03656,8.39305
1108686636,Fachgeschäft,49.00664,8.39478
50605261,Hotel,49.00764,8.35642
1031412324,Parkplatz,49.01149,8.40767
1115829217,Geldautomat,49.00947,8.40566
1131752853,Tankstelle,48.99049,8.37234
1137439476,Geldautomat,49.00701,8.40376
1108686589,Fachgeschäft,49.00042,8.40571
1058701388,Medizinischer Service,49.00119,8.33964
1110490836,Bank,49.01007,8.39328
1164824940,Postamt,49.00909,8.40077
800841281,Tankstelle,49.00914,8.39104
801780861,Apotheke,48.99699,8.39374
1104303654,Bekleidungsgeschäft,49.00627,8.39459
1131735460,Erholungsgebiet,49.02783,8.38615
1017888229,Geldautomat,48.99769,8.3717
801780841,Apotheke,48.99669,8.3539
800766282,Buchhandlung,49.00853,8.39791
898512893,Friedhof,49.03323,8.36475
1178851930,Medizinischer Service,49.01099,8.36526
1070067173,Nahverkehrsbahnhof,49.01099,8.3761
1175957350,Fachgeschäft,48.99449,8.4016
1108686591,Fachgeschäft,49.00186,8.40321
1070091398,Nahverkehrsbahnhof,49.0063,8.43171
1108687014,Fachgeschäft,49.00798,8.40963
1108710016,Fachgeschäft,49.01127,8.36197
1017890532,Bank,49.01069,8.40049
1058551465,Medizinischer Service,48.99808,8.39382
1070063446,Nahverkehrsbahnhof,49.00267,8.40327
1135083805,Restaurant,49.00884,8.39736
1010630640,Baumarkt,48.99754,8.40506
1039243182,Restaurant,49.00661,8.38169
800766538,Bank,49.00972,8.40168
1131752905,Tankstelle,48.99636,8.41006
1164922636,Fachgeschäft,49.01775,8.38087
898512271,Friedhof,49.00488,8.41804
1017890525,Geldautomat,49.01738,8.44337
1165961651,Möbel- und Einrichtungshaus,49.00515,8.39472
1192312866,Nachtleben,49.01042,8.39823
1031198246,Schule,49.01327,8.36129
1031198229,Schule,49.01719,8.38407
1132504361,Möbel- und Einrichtungshaus,49.00564,8.40312
57567919,Autohändler,49.00833,8.41715
1039212938,Restaurant,49.00546,8.34104
800752700,Sportzentrum,49.01042,8.39823
1164903087,Nachtleben,49.00511,8.39449
1148918228,Kaffeehaus,49.00077,8.39257
898116476,Historisches Bauwerk,49.0079,8.37873
1104084911,Sportfachgeschäft,49.0098,8.39911
50609439,Parkgarage,48.99919,8.38411
1112142136,Fachgeschäft,48.99285,8.39044
1110490889,Geldautomat,49.00915,8.40356
1070063447,Nahverkehrsbahnhof,49.00273,8.40311
1100919574,Fachgeschäft,49.00967,8.4019
1132232070,Möbel- und Einrichtungshaus,49.00805,8.42164
1017914839,Geldautomat,49.00899,8.41601
57563040,Restaurant,49.00269,8.39381
1174481894,fahrradleihstation,49.01162,8.40912
1039243436,Nachtleben,49.02327,8.35533
1108686583,Fachgeschäft,49.00893,8.39176
1193950720,Nachtleben,48.99419,8.39846
1104084905,Bekleidungsgeschäft,49.00874,8.40228
57552798,Nachtleben,49.01036,8.3867
1131730988,Erholungsgebiet,49.00346,8.42675
1126267044,Geldautomat,49.02919,8.38645
1039243158,Restaurant,49.01326,8.3746
1005154592,Schule,49.01407,8.43994
1039243170,Nachtleben,49.00222,8.40805
1193011353,Restaurant,48.99633,8.40844
